gyan_id,user_id,submission_date,link,category
216,93,2020-01-20,https://youtu.be/rgxDixvWbLE,General
217,67,2020-01-20,https://www.linkedin.com/posts/forbes-magazine_ditch-this-one-career-sabotaging-habit-and-activity-6625054168929312769-C_iE,General
218,77,2020-01-20,https://www.infoworld.com/article/3514948/6-great-new-python-features-you-dont-want-to-miss.html,General
219,40,2020-01-20,https://www.gizchina.com/2020/01/19/6g-technology-japan-plans-to-achieve-6g-by-2030/,General
220,84,2020-01-20,https://www.analyticsvidhya.com/blog/2019/09/7-data-science-projects-github-showcase-your-skills/?utm_source=blog&utm_medium=20-popular-machine-learning-and-deep-learning-articles-on-analytics-vidhya-in-2019,"Machine Learning"
221,82,2020-01-20,https://dailyhodl.com/2020/01/19/algorithmic-trading-from-microwave-technology-to-colocation-and-neural-networks/amp/,"Machine Learning"
222,103,2020-01-21,https://www.the-scientist.com/features/ai-uses-images-and-omics-to-decode-cancer-65732,"Deep Learning"
223,5,2020-01-21,https://blog.usejournal.com/how-a-googler-solves-coding-problems-ec5d59e73ec5,General
224,74,2020-01-21,https://artificialintelligence-news.com/2019/12/03/amazon-ai-announcements-reinvent-2019/,"Artificial Intelligence"
225,89,2020-01-21,https://www.firstpost.com/tech/news-analysis/amazon-is-rolling-out-new-electric-delivery-rickshaws-in-india-says-ceo-jeff-bezos-7930251.html,General
226,77,2020-01-21,https://www.digitimes.com/news/a20200120PD203.html,"Artificial Intelligence"
227,78,2020-01-21,https://venturebeat.com/2020/01/16/facebook-launches-pytorch-1-4-with-mobile-customization-and-java-support/amp/,Python
230,80,2020-01-21,https://www.the-scientist.com/news-opinion/ai-accurately-detects-lung-cancer-in-scans-65914,"Artificial Intelligence"
231,79,2020-01-21,https://www.the-scientist.com/news-opinion/new-evidence-points-to-asteroid-as-cause-of-dinosaur-extinction-66984,General
233,75,2020-01-21,https://ai.facebook.com/blog/using-neural-networks-to-solve-advanced-mathematics-equations/,"Deep Learning"
234,76,2020-01-21,http://dhunt.in/8eQvr?s=a&ss=pd,"Data Science"
235,82,2020-01-21,https://towardsdatascience.com/how-to-win-a-hackathon-real-time-mobile-wildfire-detection-in-tensorflow-lite-b0ee838a4c18?gi=a0bab5e1d099,"Artificial Intelligence"
236,68,2020-01-21,https://www.gadgetsnow.com/tech-news/realme-xiaomi-to-be-the-first-to-launch-smartphones-with-made-in-india-isros-gps-tech/articleshow/73479424.cms,General
237,35,2020-01-21,https://medium.com/@georgejziogas/how-to-speak-with-confidence-to-absolutely-anyone-17aff65c37ef,Career
242,67,2020-01-21,"https://www.datamation.com › e... 12 Examples of Artificial Intelligence: AI Powers Business",General
246,69,2020-01-21,https://theconversation.com/us/topics/machine-learning-8332,"Machine Learning"
247,56,2020-01-21,https://towardsdatascience.com/uber-has-been-quietly-assembling-one-of-the-most-impressive-open-source-deep-learning-stacks-in-b645656ddddb?_branch_match_id=680047293624700851&gi=9e75da1044c1,"Deep Learning"
249,72,2020-01-21,https://www.google.com/amp/s/www.geeksforgeeks.org/history-of-python/amp/,Python
250,95,2020-01-21,https://www.bbva.com/en/how-may-quantum-computing-affect-artificial-intelligence/,"Artificial Intelligence"
251,73,2020-01-21,https://towardsdatascience.com/5-ways-julia-is-better-than-python-334cc66d64ae,Python
252,102,2020-01-21,https://www.sciencedaily.com/releases/2019/11/191108074852.htm,Mathematics
